,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
תעה,27,2,0,21,0,0,0,50,50,0,218,20,7,9,0,0,4,10,0,ל׳׳ה
נשׂג,0,0,0,49,0,0,0,49,49,0,219,13,25,6,0,1,0,4,0,פ׳׳נ
בגד,49,0,0,0,0,0,0,49,49,0,220,15,5,2,0,2,2,23,0,Fort
נכר,0,2,5,38,4,0,0,49,49,0,221,10,17,10,3,2,1,6,0,פ׳׳נ
אור,13,2,0,34,0,0,0,49,49,0,222,7,11,4,8,0,14,5,0,פ׳׳א
נגף,25,23,0,0,1,0,0,49,49,0,223,11,11,15,0,2,4,6,0,פ׳׳נ
בלע,20,2,23,0,1,0,3,49,49,0,224,14,18,8,1,0,6,1,1,ל׳׳ג
פרץ,46,1,0,0,1,0,1,49,49,0,225,18,8,11,0,1,2,4,5,Fort
רפה,14,4,6,21,3,0,0,48,48,0,226,10,20,2,9,0,0,7,0,ל׳׳ה
יצב,0,0,0,0,48,0,0,48,48,0,227,2,14,12,14,0,6,0,0,פ׳׳וי
סמך,41,6,1,0,0,0,0,48,48,0,228,25,5,7,2,0,0,6,3,Fort
קוה,5,2,41,0,0,0,0,48,48,0,229,20,12,3,6,2,0,5,0,ע׳׳וי
זמר,2,1,45,0,0,0,0,48,48,0,230,0,28,0,18,0,2,0,0,Fort
קצר,46,0,1,1,0,0,0,48,48,0,231,9,15,4,3,1,5,11,0,Fort
רצח,40,2,5,0,0,0,0,47,47,0,232,3,8,0,0,2,0,34,0,ל׳׳ג
גרשׁ,7,3,35,0,0,0,2,47,47,0,233,10,11,14,2,1,2,2,5,Fort
שׁבה,39,8,0,0,0,0,0,47,47,0,234,20,1,12,1,0,1,10,2,ל׳׳ה
חיל,29,0,7,2,3,1,5,47,47,0,235,11,21,7,5,0,1,2,0,ע׳׳וי
עצר,36,10,0,0,0,0,0,46,46,0,236,10,13,5,0,1,4,1,12,פ׳׳ג
קשׁב,1,0,0,45,0,0,0,46,46,0,237,9,5,1,23,0,4,4,0,Fort
מאן,0,0,46,0,0,0,0,46,46,0,238,22,3,15,0,1,0,5,0,ע׳׳ג
פגע,40,0,0,6,0,0,0,46,46,0,239,15,13,7,6,0,3,2,0,ל׳׳ג
סלח,33,13,0,0,0,0,0,46,46,0,240,29,10,0,3,0,3,1,0,ל׳׳ג
גיל,45,0,0,0,0,0,0,45,45,0,241,1,33,2,8,1,0,0,0,ע׳׳וי
יצר,42,1,0,0,0,1,1,45,45,0,242,14,3,2,0,0,0,26,0,פ׳׳וי
מרה,22,0,0,23,0,0,0,45,45,0,243,17,5,10,0,1,3,9,0,ל׳׳ה
דמה,17,13,14,0,1,0,0,45,45,0,244,28,12,0,2,1,0,2,0,ל׳׳ה
רחם,1,0,42,0,0,0,2,45,45,0,245,14,22,1,0,2,3,3,0,ע׳׳ג
טוב,41,0,0,3,0,0,0,44,44,0,246,38,0,0,0,0,6,0,0,ע׳׳וי
נקה,1,24,19,0,0,0,0,44,44,0,247,13,22,0,2,7,0,0,0,פ׳׳נ
חגר,44,0,0,0,0,0,0,44,44,0,248,6,6,9,10,0,1,2,10,פ׳׳ג
עוד,0,0,3,39,1,1,0,44,44,0,249,13,9,12,3,5,0,2,0,ע׳׳וי
רוע,0,0,0,40,3,0,1,44,44,0,250,5,13,8,15,0,2,1,0,ע׳׳וי
קשׁר,36,2,2,0,3,0,1,44,44,0,251,11,6,16,3,0,0,4,4,Fort
בלל,42,0,0,1,1,0,0,44,44,0,252,2,2,2,0,0,0,0,38,ע׳׳ע
חלץ,22,7,14,1,0,0,0,44,44,0,253,5,12,3,4,0,1,1,18,פ׳׳ג
בזה,32,10,0,1,0,0,0,43,43,0,254,12,2,7,0,0,2,16,4,ל׳׳ה
בזז,39,3,0,0,0,0,1,43,43,0,255,15,8,5,2,1,6,5,1,ע׳׳ע
יסד,20,4,10,0,0,3,6,43,43,0,256,28,2,0,0,0,7,3,3,פ׳׳וי
פשׁט,24,0,3,15,1,0,0,43,43,0,257,18,5,12,2,0,4,2,0,Fort
יסר,5,5,31,1,0,0,0,43,42,1,258,17,13,1,5,2,2,3,0,פ׳׳וי
הרס,30,10,3,0,0,0,0,43,43,0,259,16,16,1,2,1,2,4,1,פ׳׳ג
הרה,41,0,1,0,0,0,1,43,43,0,260,7,1,29,0,3,0,3,0,ל׳׳ה
בדל,0,10,0,32,0,0,0,42,42,0,261,12,8,10,2,1,5,4,0,Fort
זוב,42,0,0,0,0,0,0,42,42,0,262,1,3,3,0,0,0,35,0,ע׳׳וי
אזן,0,0,1,41,0,0,0,42,42,0,263,7,4,0,30,0,0,1,0,פ׳׳א
נתץ,31,3,6,0,0,1,1,42,42,0,264,17,9,11,1,0,3,0,1,פ׳׳נ
ארב,38,0,2,1,0,0,0,41,41,0,265,5,8,4,1,0,1,22,0,פ׳׳א
שׁקט,31,0,0,10,0,0,0,41,41,0,266,12,9,6,1,5,2,6,0,Fort
זרה,9,2,26,0,0,0,4,41,41,0,267,18,8,3,1,0,5,5,1,ל׳׳ה
פשׁע,40,1,0,0,0,0,0,41,41,0,268,16,3,6,1,1,2,12,0,ל׳׳ג
רגז,30,0,0,7,4,0,0,41,41,0,269,10,17,5,2,0,4,3,0,Fort
אמץ,16,0,19,2,4,0,0,41,41,0,270,9,8,7,13,1,1,2,0,פ׳׳א
חרף,5,1,35,0,0,0,0,41,41,0,271,22,5,2,0,0,7,5,0,פ׳׳ג
צדק,22,1,5,12,1,0,0,41,41,0,272,11,19,1,1,0,5,4,0,Fort
